Facility Name,Physical Address,City,Latitude,Longitude
The Medicine Chest Pharmacy,"4 St Andrew's Arcade, Chisipite Shopping Centre",Harare,-17.8567035,31.0601584
The Medicine Chest Pharmacy,5 Hurworth Road,Harare,-17.7948229,31.0964482
The Medstore Pharmacy,30 Robson Manyika Avenue,Harare,-17.8567035,31.0601584
The Michael Gelfand Clinic,53 Josiah Chinamano Avenue,Harare,-17.8567035,31.0601584
The Midlands Private Hospital,"Stand 8766 Gymkhana Grounds, Josiah Tongogara Road",Gweru,-19.4616316,29.8205953
The Miracle Surgery,183ChitungoChineta Street,Mutare,-18.974656,32.670473
The Msasa Clinic,7 Neil AvenueMsasa,Harare,-17.8567035,31.0601584
The National St John Ambulance,102 Baines Avenue,Harare,-17.8567035,31.0601584
The Neighbourhood Surgery,2944 Old HighfieldHighfield,Harare,-17.8567035,31.0601584
The Nest Clinic,Marozva Village Ward 1Heather Chimoga Orphanage,Murewa,-17.646074,31.777541
The Neurology Clinic,132 Nelson Mandela Avenue,Harare,-17.8567035,31.0601584
The Neurology Practice,3rd FloorMedical Chambers60 Baines Avenue,Harare,-17.8567035,31.0601584
The Neurosurgery Institute,19Baines Avenue Cnr Baines and Blackiston,Harare,-17.8567035,31.0601584
The Optical Centre,Shop 37 Upper Level Bulawayo Centre,Bulawayo,-20.1560599,28.5887063
The OT Room,"7 Patrick John, Colne Valley",Harare,-17.8567035,31.0601584
The Place Surgery,Shop 2 Sanhanga BuildingCnr R.Mugabe way/4th Street,Mutare,-18.974656,32.670473
The Plastic Surgery Clinic,18 Lanark Road,Harare,-17.8063501,31.0429627
The Practice,"377, 16 7th Street",Gweru,-19.4616316,29.8205953
The Practice,34 Downie AvenueBelgravia,Harare,-17.8567035,31.0601584
The Radiology Clinic,329Sixth Street,Gweru,-19.4616316,29.8205953
The Rehabcare Centre Borrowdale,3 Borrowdale LaneBorrowdale,Harare,-17.8567035,31.0601584
The Restoration Maternity Home,7199 Kwekwe Road,Gokwe,-18.2718496,29.0149
The Royal Southern Medical,29968Oliver Street,Masvingo,-20.7453957,31.334138
The Ruwa Radiology Suite,Shop No. 1 Stand 3788Old San Souci Road,Ruwa,-17.897155,31.237093
The Salvation Army Tshelanyemba Mission Hospital,Tshelanyemba Hospital P.O Tshelanyemba Maphisa,Matobo,-20.9701286,28.4629156
The Samaritan Healthcare,40 Josiah Tongogara(off) Leopold Street,Harare,-17.8567035,31.0601584
The Scan Centre,106 York Street,Bindura,-17.2989727,31.3299701
The Specialist Physician Clinic,58 Ascot RoadAvondale West,Harare,-17.8567035,31.0601584
The Stones Pharmacy,Stand 2942 MastonesOld Highfield,Harare,-17.8567035,31.0601584
The Urology Centre - K.T. Macheka,2 Natal RoadBelgravia,Harare,-17.8567035,31.0601584
The Wellness Centre,115 Upper Third Road,Mutare,-18.974656,32.670473
Thembani Polyclinic,1773 Cowdrhy Park Luveve,Bulawayo,-20.1560599,28.5887063
Theophany Health Clinic,1224 St Mary's,Chitungwiza,-17.9934905,31.0530406
Therapoint Pharmacy,91 May Street,Shurugwi,-19.7542336,30.156915
Therapy House,9 Windsor CloseMt Pleasant,Harare,-17.8567035,31.0601584
Therapy Pro Pvt Ltd,24 Richmond RoadHighlands,Harare,-17.8567035,31.0601584
TherapyWorx,"7 Patrick John Road,Colne Valley",Harare,-17.8567035,31.0601584
Thiago Pharmacy,"Shop 2 Smart Corner, RG Mugabe",Gweru,-19.4616316,29.8205953
Third Street Pharmacy,Stand 513rd Street,Gweru,-19.4616316,29.8205953
Thorngrove Isolation Hospital - Byo City,Off Station RoadThorngrove Surbub,Bulawayo,-20.1560599,28.5887063
Thornhill Airbase Hospital,Thornhill Airbase,Gweru,-19.4616316,29.8205953
Thoseck Pharmacy,94 Roseway,Karoi,-16.8190442,29.6836936
Thosheck Pharmacy,367 Murambinda Growth Point,Murambinda,-19.26855,31.652365
Thosheck Pharmacy,Shop Y13 Suwoguru,Mvurwi,-17.027521,30.850108
Thosheck Pharmacy,Stand Number 18 Harris Street,Karoi,-16.8190442,29.6836936
Three Zeds Optical Ent PVT LTD,21 Piemonte 141,Harare,-17.8567035,31.0601584
Thrive Physiotherapy,166The ChaseGroombridge,Harare,-17.8567035,31.0601584
Thrive Physiotherapy Clinic,Stand No. 253168 The Chase Groombridge,Harare,-17.8567035,31.0601584
Tichaz Pharmacy,9515 Tichagarika Shopping CenterGlen View 3,Harare,-17.8567035,31.0601584
Timeless Dental Laboratory,MK 21 Westgate Shopping MallWestgate,Harare,-17.8567035,31.0601584
Tingamira Clinic,Tingamira EstateTanganda Tea Company,Chipinge,-20.6177688,32.3786847
Tinovimba Clinic,Suite 4 12 Magamba Way Old TM Building,Chinhoyi,-17.3615308,30.1929353
Titshi Surgery,"Stand 329, Plumtree CBD",Plumtree,-20.4880677,27.805601
Tiz Medical Rehabilitation Clinic,HUSCHO HOLDINGS784 Macheke,Macheke,-18.1453784,31.8471437
TJ's Dental Surgery,2507 Egypt Highfield,Harare,-17.8567035,31.0601584
TJ's Medical Clinic,2507 121 Street EgyptHighfield,Harare,-17.8567035,31.0601584
TK Pharmacy Makoni,16069Unit GSeke,Chitungwiza,-18.0143462,31.0726737
TK Pharmacy Zengeza,19331Zengeza 4,Chitungwiza,-18.0106207,31.0656989
TLC Pharmacy,5513/15Turf Business Centre,Mhondoro,-17.8018476,30.9250185
Tobacco Processors Zimbabwe Clinic,Corner Auckland & Simon Mazorodze Road,Harare,-17.8567035,31.0601584
Top Health Pharmacy,25352Upfront RoadMavambo Shops,Ruwa,-17.897155,31.237093
Topcare Pharmacy,8131Kuwadzana 1,Harare,-17.8342958,30.9352775
Topcare Pharmacy,2061 Gletwyn RoadGletwyn,Harare,-17.8567035,31.0601584
Topcare Pharmacy-Eastgate,G28 Eastgate Market R.Mugabe/Wynne Street,Harare,-17.8567035,31.0601584
Topline Polyclinic,639Turf VillageNgezi,Kadoma,-18.3374033,29.9135021
Topline Surgery,1st floor FBC building179 Robertson Street,Masvingo,-20.7453957,31.334138
Topomasi Clinic,16 Park StreetNew Town,Kwekwe,-18.9284366,29.8140035
Total Care Pharmacy,Stand No.282Mpandawana,Gutu,-19.642423,31.159458
Total Care Pharmacy,Stand 4255 Mupandawana,Gutu,-19.642423,31.159458
Total Health Pharmacy,"Stand 4137, Gokwe Centre",Gokwe,-18.224982,28.953933
Total Med Pharmacy Robert Mugabe,"Shop number 3, Venus House, Cnr Robert & Cameroon",Harare,-17.8567035,31.0601584
Totalis Medical Clinic,1 Edmund RoadBelvedere,Harare,-17.8567035,31.0601584
Totalis Pharmacy,1 Edmond RoadBelvedere,Harare,-17.8567035,31.0601584
TotalMed Pharmacy,"100 Cameroon Street, Cnr Cameroon / Speke Avenue",Harare,-17.8567035,31.0601584
TotalMed Pharmacy Chinhoyi Street,"120 Chinhoyi Street, Albion",Harare,-17.8567035,31.0601584
Transmed Pharmacy-Mazowe Street,6Zandaam Court AvenuesChunamano/Mazowe Street,Harare,-17.8567035,31.0601584
Transpharm Phamaceuticals,1 Jason MoyoKopje Plaza,Harare,-17.8567035,31.0601584
Trasel Medical Centre,7222 Mabidi Suburb,Beitbridge,-22.1986233,29.9917535
Trauma Centre Borrowdale,No. 1 Borrowdale LaneBorrowdale,Harare,-17.8567035,31.0601584
Trauma Centre Borrowdale,No.1-3Borrowale LaneBorrowdale,Harare,-17.8567035,31.0601584
Trauma Centre Borrowdale - ICU & HDU,No 1- 3Borrowdale LaneBorrowdale,Harare,-17.8567035,31.0601584
Trauma Centre Borrowdale Ambulance (EMS),1Borrowdale LaneBorrowdale,Harare,-17.8567035,31.0601584
Trentmed Pharmacy,"5964 Gazaland Shops, Western Triangle",Harare,-17.8567035,31.0601584
Triangle Sugar - Mpapa Clinic,Section 65Triangle Sugar Estates,Chiredzi,-21.4164577,31.8233421
Triangle Sugar - Mutirikwi Clinic,Section 63Triangle Sugar Estates,Chiredzi,-21.4164577,31.8233421
Triangle Sugar-Mill Clinic,Triangle Limited Sugar MillTriangle Sugar EstatesTriangle,Chiredzi,-21.4164577,31.8233421
Triashill Mission Hospital,Mutasa District,Rusape,-18.5334765,32.1256769
Trinity Dental Clinic,"Stand 36, 4th Street",Kwekwe,-18.9284366,29.8140035
Trinity Family Clinic,Shangwito Invest Complex 13874/5 Chidodo Road,Chitungwiza,-18.0143462,31.0726737
Trinity Pharmacy,Stand 245 Shop 5 Selous Building,Bulawayo,-20.1560599,28.5887063
Trinity Pharmacy,"53 Samora Machel, Shop 2 Karigamombe Arcade",Harare,-17.8567035,31.0601584
Trinity Pharmacy,Stand 23Corner Carrick Creagh & Gaydon RoadGreystone Park,Harare,-17.8567035,31.0601584
Trinity Pharmacy,181 JB Southgate MallChiremba Road,Harare,-17.8567035,31.0601584
Trinity Pharmacy,Shop 5 Jacobs Park46 DuikerBorrowdale,Harare,-17.8567035,31.0601584
Trinity Pharmacy,Stand A/19 67A Fortstreet 5th/6th Avenues,Bulawayo,-20.1560599,28.5887063
Trinity Pharmacy,294 ED Mnangagwa Road,Masvingo,-20.7453957,31.334138
Trinity Pharmacy - Albion,"Shop 3, Ground Floor, Dublin House 113 Mbuya Nehanda Street Albion Street",Harare,-17.8567035,31.0601584
Trinity Pharmacy - Avenues,"109 Josiah Chinamano, 3rd Street",Harare,-17.8567035,31.0601584
Trinity Pharmacy - Kwekwe,"Shop 4, Mukewa Building",Kwekwe,-18.9284366,29.8140035
Trinity Pharmacy Bulawayo,83 Robert Mugabe Way,Bulawayo,-20.1452914,28.590016
Trinity Pharmacy- Greencroft,"119 Lomagundi Road, Greencroft ShopsGreencroft",Harare,-17.8567035,31.0601584
Trinity Pharmacy Helensvale,Shop 3 Stand 25 Kugonachete Centre Helensvale Shopping Centre,Harare,-17.8567035,31.0601584
Trinity Pharmacy Ruwa,"Shop 4 New Block, Ruwa Shopping Centre",Harare,-17.8567035,31.0601584
Trinity Pharmacy Victoria Falls,"22 Sawanga Mall, Stand 1865AChinotimba",Victoria Falls,-17.922895,25.8476849
Trinity Pharmacy-Mt Pleasant,103The ChaseMt Pleasant,Harare,-17.8567035,31.0601584
Trinity Vision Optical,3rd FloorKarigamombe Centre53 Samora Machel,Harare,-17.8567035,31.0601584
Triple C Pigs Clinic,48 KM Peg Harare Bulawayo Highway,Norton,-17.87454,30.695954
Tripple T Pharmacy,17413 Solani Shops Epworth,Harare,-17.8567035,31.0601584
Trojan Mine Clinic - Occupational Therapy,Number 1 Trojan Road,Bindura,-17.3317895,31.2996854
Trojan Nickel Mine - Ambulance,1 Trojan Nickel RoadTrojan Nickel Mine,Bindura,-17.2989727,31.3299701
Trojan Nickel Mine Clinic,Trojan RoadTrojan Nickel Mine,Bindura,-17.2989727,31.3299701
Tropical Pharmacy,Stand No. 21176 Plot 1Musika Street Rujeko,Masvingo,-20.7453957,31.334138
TrueCare Surgery,6NRZ StationVengere,Rusape,-18.5334765,32.1256769
Truelab Diagnostics,19613Unit GSeke,Chitungwiza,-18.0143462,31.0726737
Trueway Health Pharmacies,Stand 5621,Harare,-17.8567035,31.0601584
Trueway Health Pharmacy Tynwald,10672 Tynwald South,Harare,-17.8567035,31.0601584
Trukumb Health Centre,Trukumb Miningbox 69 Filabusi,Filabusi,-20.535687,29.284797
Trust Tynward South Surgery,1923Tynward South,Harare,-17.8567035,31.0601584
Trustcare Pharmacy,Shop 4 Cari Court JMN Nkomo Street,Bulawayo,-20.1560599,28.5887063
Trustcare Pharmacy,Shop 5A Herbert Chitepo & 9th Avenue,Bulawayo,-20.1560599,28.5887063
TrustCare Pharmacy - Entumbane,Shop 11Entumbane Complex,Bulawayo,-20.1290211,28.5369656
Trustcare Pharmacy Old Mutual Bulawayo,Shop 12 Old Mutual Cnr 8th Avenue & Jason Moyo Avenue,Harare,-17.8567035,31.0601584
Trusted Solutions Counselling Clinic,339 Harare Drive Mt Pleasant,Harare,-17.8567035,31.0601584
Trustmed Pharmacy,16 Thekwane Road,Plumtree,-20.4880677,27.805601
Tsanzaguru Pharmacy,Shop 21825 Tsanzaguru,Rusape,-18.5334765,32.1256769
Tsanzaguru Surgery,Stand Number 1813Tsanzaguru Township,Rusape,-18.5334765,32.1256769
Tshabalala Clinic,Corner Tshabalala Drive & Entumbane Way,Bulawayo,-20.1560599,28.5887063
Tshabalala Maternity Clinic - Bulawayo,63044 Tshabalala,Bulawayo,-20.1747668,28.5350905
Tshabalala Pharmacy,Shop 2People's MarketTshabalala,Bulawayo,-20.1560599,28.5887063
Tsholotsho RDC-Makhaza RHC,Tsholotsho,Bulawayo,-20.1560599,28.5887063
Tsholotsho RDC-Mlouisa RHC,Tsholotsho,Bulawayo,-20.1560599,28.5887063
Tsholotsho RDC-Mtshayeli RHC,Tsholotsho,Bulawayo,-20.1560599,28.5887063
Tsholotsho RDC-Sodaka RHC,Tsholotsho,Bulawayo,-20.1560599,28.5887063
Tshovani Pharmacy,Stand 3653 Njonjolinjo RoadTshovani,Chiredzi,-21.4164577,31.8233421
Tsoan Investments t/a Madziwa Pharmacy,111 Madziwa B/C,Shamva,-17.1763039,31.6313775
Turf CarePoint Medical Centre,Stand No. 5517Turf Business Centre,Ngezi,-18.7234683,30.2659344
Turfx Occupational Health Centre,Stand Number 2752,Ngezi,-18.7234683,30.2659344
Turfx Occupational Health Centre,Stand Number 2752 Turf,Mhondoro,-17.8018476,30.9250185
Turfx Occupational Health Centre - Xray,Stand No. 2752Corehouse Turf Business Centre,Ngezi,-18.7234683,30.2659344
Turk Mine Industrial Clinic,Turk Mine Industrial ClinicTurk Mine,Bubi,-19.5783015,28.8224536
TurkMine RDC-Lukala RHC,Box 11,Turk Mine,-19.714055,28.794679
TurkMne RDC-Mbembeswana RHC,Box 11,Turk Mine,-19.714055,28.794679
Turnall Holdings Clinic,5 Glasgow RoadSoutherton,Harare,-17.8567035,31.0601584
Turnall Holdings Clinic,Stand 993 Steel Works Road,Bulawayo,-20.1560599,28.5887063
Twenty Four Hour Diagnolabs,Shop 1Shamrock House 88,Bulawayo,-20.1560599,28.5887063
Twin Palms Medical Centre,113 Kwame Nkrumah Avenue,Harare,-17.8567035,31.0601584
Tyla C Landman Psychological Practice,4 Borrowdale LaneBorrowdale,Harare,-17.8567035,31.0601584
UBC Avicenna Medical Centre,127Borrowdale RoadGunhill,Harare,-17.8567035,31.0601584
UBC Clinical Laboratories,52 Josiah Chinamano Ave,Harare,-17.8173866,31.0494631
UBC Clinical Laboratories,Lancet House Room 201 2nd Floor9th Ave,Bulawayo,-20.1560599,28.5887063
UBC Clinical Laboratories - Borrowdale,1 Wenham CloseBorrowdale,Harare,-17.8567035,31.0601584
UBC Clinical Laboratories-Milton Prak,19ColenbranderMilton Park,Harare,-17.8567035,31.0601584
Ultimate Medical Laboratories,113A J Tongogara Btwn 11th and 12th Avenue,Bulawayo,-20.1560599,28.5887063
Ultimate Physio Care Clinic,1914Authurstone NSSA Area,Bindura,-17.2989727,31.3299701
Ultimate Physiocare Clinic,36First Street,Bindura,-17.2989727,31.3299701
Ultra City Pharmacy,Shop 2Stand 4412 Kushanda Crescend Budiriro 2,Harare,-17.8567035,31.0601584
Ultracare Medical Centre,4047Canon Patterson RoadHighfield,Harare,-17.8567035,31.0601584
Ultracare Pharmacy,56G. Silundika,Harare,-17.8281386,31.0568721
Umdala Wethu Pharmacy,6774Nketa Drive Emganwini,Bulawayo,-20.1560599,28.5887063
UMP RDC-Borera Rural Centre,Maramba 2 WardMudzinganyama VillageMuta,Murewa,-17.646074,31.777541
UMP RDC-Chifunde Clinic,MaroweUzumba,Murewa,-17.646074,31.777541
UMP RDC-Chikuhwa Rural Health Center,Mukuruanopamaenza WardChikhwa VillageMutawatawa,Murewa,-17.646074,31.777541
UMP RDC-Chitembe Clinic,Musosonwa WardMutawatawa,Murewa,-17.646074,31.777541
UMP RDC-Chitsungo Rural Health Center,Chigonda WardNyanjera Village,Mutawatawa,-17.1180834,31.9713574
UMP RDC-Dewe Rural Centre,Karamba WardMutawatawa,Murewa,-17.646074,31.777541
UMP RDC-Manyika Rural Centre,Manyika WardUzumba High SchoolUzumba,Mutawatawa,-17.1180834,31.9713574
UMP RDC-Maramba Rural Health Clinic,Maramba Rural Health Clinic,Mutawatawa,-17.1180834,31.9713574
UMP RDC-Muskwe Rural Centre,Muskwe ClinicMutawatawa,Murewa,-17.646074,31.777541
UMP RDC-Nhakiwa Rural Health Center,Nhakiwa WardUMP District,Murewa,-17.646074,31.777541
UMP RDC-Nyakasoro Rural Health Center,Chiunze 2 WardNyakasoro Village,Mutawatawa,-17.1180834,31.9713574
UMP RDC-Nyanzou Rural Health Center,Nyanzou Primary SchoolUMP District,Mutawatawa,-17.1180834,31.9713574
UMP RDC-Tsokodeka Clinic,Mwando VillageMutungagore WardUzumba,Mutawatawa,-17.1180834,31.9713574
UMP RDC-Zvataida(Hombiro Rural Health Clinic),Chidodo VillageUzumba,Murewa,-17.646074,31.777541
Umzingwane RDC-Dula RHC,Ward 11Umzingwani Rural District Esigodini,Harare,-17.8567035,31.0601584
Umzingwane RDC-Habane Rural Healtlth Centre,Number 1 Richardson Ave,Esigodini,-20.291794,28.939699
Umzingwane RDC-Nswazi Rural Health Centre,P.Bag ESI 5812Esigodini,Esigodini,-20.291794,28.939699
Umzingwane RDC-Ntshamathe RHC,Umzingwane RDCP.Bag 5812,Esigodini,-20.291794,28.939699
Unicare Pharmacy,Shop 190 Harare St Cnr Harare St & Bank St,Harare,-17.8567035,31.0601584
Unicem Industrial Clinic,PPC Zimbabwe Limited P.O.Box 1493,Bulawayo,-20.1560599,28.5887063
Unifreight Africa Industrial Clinic,3 Chatham Road Belmcnt,Bulawayo,-20.1560599,28.5887063
Unifreight Industrial Clinic,Corner Orme &Willow Roads,Harare,-17.8567035,31.0601584
Unihealth Maternity,4781New Cenery ParkUshewokunze,Harare,-17.8567035,31.0601584
Unihealth Surgery,4515 Saturday Drive,Harare,-17.8567035,31.0601584
Unit H Medical Centre,Stand Number 10283Unit HSeke,Chitungwiza,-18.0143462,31.0726737
Unit J Surgery,Shop 6. Stand 7199Unit J - Shops,Chitungwiza,-18.0143462,31.0726737
Unit O Surgery,19727 Unit OSeke,Chitungwiza,-18.0143462,31.0726737
United Bulawayo Hospital,2 St Lukes AvenueAscot,Bulawayo,-20.1560599,28.5887063
United Methodist Dental Clinic,"Number 9, 2nd Street",Mutare,-18.974656,32.670473
United Methodist Dental Clinic,14 Walterhill Avenue,Harare,-17.8567035,31.0601584
United Methodist Dental Clinic,10 Nelson Mandela Avenue,Harare,-17.8567035,31.0601584
United Methodist Dental Clinic-Harare,146 Chinhoyi Street,Harare,-17.8567035,31.0601584
United Methodist Medical Clinic,10 Nelson Mandela Avenue,Harare,-17.8567035,31.0601584
United Methodist Mtoko-Chikwizo Clinic,Nyamapanda Road 159 Nyamuyaruka,Mudzi,-17.0516554,32.5494492
United Nations Clinic - UNDP,Block 11Arundel Office Park Mount Pleasant,Harare,-17.8567035,31.0601584
United Nations Clinic Laboratory,11 Arundel Office ParkMount Pleasant,Harare,-17.8567035,31.0601584
United Refineries Industrial Clinic,Stand 13368 Khami Road ExtensionKelvin North,Bulawayo,-20.1560599,28.5887063
Unki Mines Ind Clinic,Makwikwi VillageChironge School,Shurugwi,-19.7542336,30.156915
Unkie Mines (Pvt) Ltd Medical Laboratory,Makwikwi Village Chironge School,Shurugwi,-19.7542336,30.156915
Untd Methodist Mutare-Anoldine Clinic,Anoldine United Methodist Centre90 Old Mutare Hospital,Mutare,-18.974656,32.670473
Untd Methodist Mutare-Chinyadza Clinic,Chinyadza VillageMakoni District,Mutare,-18.974656,32.670473
Uplands Medical Centre,"984 Forbes Road, Uplands",Harare,-17.8567035,31.0601584
Upper East Medical Centre Laboratory,4 Seagrave RoadAvondale,Harare,-17.8567035,31.0601584
Uptown Family Clinic,107 Hebert Chitepo Street,Mutare,-18.974656,32.670473
Urban Breeze Pharmacy,Stand 2293 Gwabuka,Plumtree,-20.4880677,27.805601
Urban Breeze Pharmacy,14 Thekwane Road,Plumtree,-20.4880677,27.805601
Urban Care Medical Centre,7821 Patisha InvestmentsSouthlea Park,Harare,-17.8567035,31.0601584
Urban Oasis Pvt Ltd T/A Cityzen,2 Natal RoadBelgraviaBorrowdale,Harare,-17.8567035,31.0601584
Urban Vision Eye Clinic,125 Ruth Taylor Road Gunhill,Harare,-17.796631,31.0674322
Urea Breath Centre Westend Clinic,Suite 9 Westend Clinic Ext7Baines Ave,Harare,-17.8567035,31.0601584
Urgent Care Clinic Pharmacy - Bindura,853 Yorke Avenue,Bindura,-17.2989727,31.3299701
Urgent Care Pharmacy,11A Lincoln AvenueAvondale,Harare,-17.8567035,31.0601584
Uro Andro Clinic,8 Jason Moyo Avenue,Harare,-17.8567035,31.0601584
Uroandro Clinics,14 Bath Road Avondale,Harare,-17.8023523,31.0426124
Urocare,19 Lezard Avenue,Harare,-17.8567035,31.0601584
Uromed Health Care,6769Senga Area 2,Gweru,-19.4616316,29.8205953
Uromed Health Care Nursing Surgery,601 Zvishavane Road,Shurugwi,-19.7542336,30.156915
Usai Dr. S,22A Jason Moyo Street,Bulawayo,-20.1560599,28.5887063
Utano Africa Pharmaceuticals-Epworth,1034/35MakomoEpworth,Harare,-17.8567035,31.0601584
Utano Centre,385 York Street,Chivhu,-19.0187032,30.8969497
Utano Pharmacy,Stand No. 6500Southlea Park,Harare,-17.8567035,31.0601584
Uyeza Futhi Clinic,60 George Silundika Cnr 5th,Harare,-17.8567035,31.0601584
UZ Clinical Research Centre,2 Allan Wilson AvenueBelgravia,Harare,-17.8567035,31.0601584
UZ Clinical Research Centre-Belgravia,2618Belgravia2 Allan Wilson Avenue,Harare,-17.8567035,31.0601584
UZ Diagnostic and Research Laboratory,Parirenyatwa Main Hospital Avondale,Harare,-17.8567035,31.0601584
UZ International Pharmacology Speciality Laboratory,106 Baines Avenue,Harare,-17.8567035,31.0601584
UZ Oral Health Centre,Parirenyatwa Hospital GroundsMazowe Street,Harare,-17.8567035,31.0601584
UZ- Target Laboratories,Chemical Pathology UnitFaculty of Medicine and Health ScienceParirenyatwa Hospital Complex,Harare,-17.8567035,31.0601584
UZ-CTRC Central Laboratory,15 Phillips Avenue,Harare,-17.8567035,31.0601584
UZ-CTRC Central Laboratory,UZ FACULTY OF HEALTH SCIENCES- PARIRENYATWA,Harare,-17.8567035,31.0601584
UZ-CTRC Harare Family Care Clinic Laboratory,"Parirenyatwa Group of Hospitals, Mazowe Street",Harare,-17.8567035,31.0601584
UZ-CTRC Milton Park Laboratory,31 Lawson Avenue,Harare,-17.8567035,31.0601584
UZ-CTRC Seke North Laboratory,Seke North Clinic Box Njenje Road Makoni Primary Care Unit,Chitungwiza,-18.0143462,31.0726737
UZ-CTRC Seke South Laboratory,19188 Seke South Clinic Unit L,Chitungwiza,-18.0315014,31.0759109
UZ-CTRC Spilhaus Laboratory,Harare Hospital Grounds Spilhaus Family Planning Council P.O Box ST 220,Harare,-17.8567035,31.0601584
UZ-CTRC St Mary's Laboratory,St Mary's Clinic 278 Ingwe Road,Chitungwiza,-18.0143462,31.0726737
UZ-CTRC TB Laboratory,Wilkins Hospital Grounds Cnr Princess Road / Drummond Chaplin,Harare,-17.8567035,31.0601584
UZ-CTRC Zengeza Laboratory,Box 30 Cheuka Street,Chitungwiza,-18.0143462,31.0726737
Uzima Haven International,119 - 36TH StreetBudiriro 1,Harare,-17.8567035,31.0601584
Uzuru Pharmacy,980. 126 Kwame Nkrumah Avenue,Harare,-17.8567035,31.0601584
V.G Physiotherapy Clinic,"34 Baines Avenue, Suite 7 Hampton Court",Harare,-17.8567035,31.0601584
Vaitive Trading (Pvt) Ltd,28B Anthony AvenueMsasa,Harare,-17.8567035,31.0601584
Val Martin & Associates Physiotherapists,92 Harare Drive Greystone Park,Harare,-17.8567035,31.0601584
Valident Dental Practice,72 AFourth Street,Bulawayo,-20.1560599,28.5887063
Value Max Clinical Laboratory,107Herbert Chitepo Street,Mutare,-18.974656,32.670473
Valz Pharmacy,5549 Tynwald Shops,Harare,-17.8567035,31.0601584
Van Praat Medical Laboratory,"6Colling Street, First Floor Mtetwa Building",Kadoma,-18.3374033,29.9135021
Van Praat Medical Laboratory,3634Lion Drive Road,Chiredzi,-21.4164577,31.8233421
Varichem Pharmaceuticals,194 Glen Eagles RoadWillowvale,Harare,-17.8567035,31.0601584
Varichem Pharmaceuticals (PVT) LTD,28 Martin DriveMsasa,Harare,-17.8567035,31.0601584
Varichem Pharmaceuticals Willowvale 2,215 Willowvale Road,Harare,-17.8768205,31.0050051
Vasol Pharmacy,2368 The Angwa CentreCnr Speke Avenue and Angwa Street,Harare,-17.8567035,31.0601584
Vee Five Pharmacy,Shop Number 2 Kaymar House105,Bulawayo,-20.1560599,28.5887063
Vee's Health and Beauty Centre,8965 MachipisaHighfield,Harare,-17.8567035,31.0601584
Vengere Clinic-Rusape,Rusape Town CouncilBox 17,Rusape,-18.5334765,32.1256769
Venus Medical and Dental Group,4 Cuba AvenueMount Pleasant,Harare,-17.8567035,31.0601584
Venus Medical Surgery and Dental Group,4 Cuba AvenueMount Pleasant,Harare,-17.8567035,31.0601584
Venus Pharmacy,4 Cuba AvenueMt Pleasant,Harare,-17.8567035,31.0601584
Vera G.A.N Surgery,7 Baines AvenueWestend Extension( Suite 2),Harare,-17.8567035,31.0601584
"Verify Engineering,Feruka Site Industrial Clinic",Feruka 4th Floor Beverly CourtCnr 4th & Nelson Mandela,Mutare,-18.974656,32.670473
Very Important ILL Person (VIIP) Medical Center,434th StreetWinston Park,Marondera,-18.190098,31.545542
Vic Falls RDC-Chinotimba Clinic,Chinotimba Road Opposite Sinemani Shopping Center,Victoria Falls,-17.922895,25.8476849
Vic Falls RDC-Chisuma RHC,Box 165,Victoria Falls,-17.922895,25.8476849
Vic Falls RDC-Jambezi RHC,C/O Box 39,Victoria Falls,33.8523879,-78.6309435
Vic Falls RDC-Kanyambizi RHC,C/O Box 165,Victoria Falls,-17.922895,25.8476849
Vic Falls RDC-Mukhosana Clinic,Chinotemba Road Opposite Sinemani Shopping Center,Victoria Falls,-17.922895,25.8476849
Victoria Falls Dental Clinic,4Laxmi Building320 Clark Road,Victoria Falls,-17.922895,25.8476849
Victoria Falls Dental Clinic,"Office 4 Laxmi Building, 320 Clark Road",Victoria Falls,-17.922895,25.8476849
Victoria Falls Hotel Clinic,1 Mallet Drive,Victoria Falls,-17.9285754,25.8418665
Victoria Falls Medical Centre Laboratory,Lot 1Stand 6206Mkhosana Main Street,Victoria Falls,-17.922895,25.8476849
Victoria Falls Pharmacy,Shop 3Phumula Centre,Victoria Falls,-17.922895,25.8476849
Victory Park Clinic,19888Victory ParkSolomio,Ruwa,-17.897155,31.237093
Vidamac Pharmaceuticals,1370Ambleside RoadAspindale,Harare,-17.8567035,31.0601584
Vidamac Pharmaceuticals,Shop P1-5 Southwinds ComplexWaterfalls,Harare,-17.8567035,31.0601584
Vikings Pharmaceuticals,"38A Prospect, Waterfalls",Harare,-17.9049896,31.0332879
Village of Hope Clinic,"10 Goodhope Road, Goodhope",Harare,-17.8567035,31.0601584
Village Pharmacy,Shop 3 New Block 1 Sam Levy Village,Harare,-17.8567035,31.0601584
Vimbayi Surgery,K2115 Katanga,Norton,-17.87454,30.695954
Vine Pharmacy,4388 Chinotimba Shopping Centre,Victoria Falls,-17.922895,25.8476849
Vision Nest Eye Clinic,86 Central Avenue,Harare,-17.8567035,31.0601584
Vista Pharmacy,Stand 9308Westlea,Harare,-17.8567035,31.0601584
Vista Pharmacy-Samora Machel Avenue,3031Cnr S.Machel Avenue /Rudland Avenue,Harare,-17.8567035,31.0601584
Visual Aquity T/A Village Optometrists,Shop 54Sam Levy 's VillageBorrowdale,Harare,-17.8567035,31.0601584
