facility name,physical address,city
Shurugwi Surgery,Number 90 May Street,Shurugwi
Siam K Surgery - Borrowdale,3 Borrowdale Laneborrowdale,Harare
Sicah Radiology Private Limited,3631Lion Drive,Chiredzi
Sideway Family Care Clinic,Lydiate Grading Shade,Norton
Sideways Ambulance Service,2050Maridale,Norton
Sideways Family Care Clinic - Maridale,House Number 2050 Maridale,Norton
Siduna T Surgrey,513 Kapenta Closemahombekombe,Kariba
Siegmed Pharmacy,Shop 12 New Megawatt Complex,Gweru
Siegmed Pharmacy,Number 35R.G Mugabe Way,Gweru
Siegmed Pharmacy-Harare,Shop 10 114 Leopold Takawira,Harare
Sila Health - Bulawayo,22 Jason Moyocorner First Avenue & Jason Moyo,Harare
Sila Health Dental,22Jason Moyo Street,Bulawayo
Silah Health Ambulances-Bulawayo,22Jaison Moyo Street,Bulawayo
Silethemba Home & Health Centre,"Luveve Road / Nketa Drive, Muzenda Road",Bulawayo
Silisani Medical Centre,15232 Pumula South,Bulawayo
Silveira Mission Hospital,Silveira Mission Hospital,Nyika
Silver Lining Medical Centre,58George Silundika Avenuecnr 4Th Street,Harare
Silver Lining Medical Laboratories,58 George Silundika Cnr 4Th Street,Harare
Silverspring Clinic,No.60Baines Avenue4Th Floor,Harare
Silverstream Clinic,The Wattle Company Chimanimani Estates,Chimanimani
Silwood Surgery,10Silwood Closechisipite,Harare
Simangolwa Noel Dr,89 H.Chitepo Road,Mutare
Simbai Surgery,65 Clutterrbuck Complex,Mt Darwin
Simbo Rural Health Centre,Ward 14Ntuva Village,Nkayi
Simed Pharmacy,"7236, 252Nd Street, Western Trianglehighfield",Harare
Simed Pharmacy,4202 Glen View 2Makomva Shopping Centre,Harare
Simed Pharmacy,"7236, 252Nd Streetwestern Trianglehighfield",Harare
Simed Pharmacy,139 Marwede Townshipglaudina,Harare
Simon Tsuro Private Clinic,123466-5Th Street,Harare
Singhealth Pharmacy,85 Greengrove Drivegreendale,Harare
Sino Trauma Medical Rooms,41 Kingsmed Borrowdale,Harare
Sino Zimbabwe Cement Company Clinic,P.O. Box 2038 Indiva Siding,Gweru
Sisk Dental Clinic,1707 Mahachi Street Chesvingo,Masvingo
Sisk Medical Centre,1625 Tynwald South Tynwald,Harare
Sizolwethu Mobile Health Service,24Kipling Drivemalindela,Bulawayo
Skin & Gu Medicine Clinic,25 - 5Th Streetcnr Nelson Mandela Ave,Harare
Skin And Medical Aesthetics Clinic,8 Elsworth Road Alexandra Park,Harare
Sky 24 Medical Centre Bulawayo,Stand No. 507 Cnr Robert Mugabe And 4Th Avenue,Bulawayo
Sky 24 Medical Centre Ultrasound Scan Un,Stand 507 Cnr R. Mugabe Way/ 4Th Avenue,Zvishavane
Sky Dental,507Corner Robert Mugabe4Th Avenue,Bulawayo
Sky Dental- Hillside Clinic,17 Chiremba Road Medical Centrehillside,Harare
Sky Pharmaceutical Pvt Ltd,Corner Nottinghamdarwin Roadworkington,Harare
Skymed Pharmacy,41599 Cripps Roadgraniteside,Harare
Skyville Medical Clinic,15344Nkulumane 12,Bulawayo
Skyway Medical Centre,2293Amkoba 7,Gweru
Smart Dental Clinic,7997Spitzkopgwanda Medical Centre,Gwanda
Smart Optical Hub,3 Wimbledon Eastlea,Harare
Smart Oral Anatomy Clinic,109Nelson Mandela Avenue,Harare
Smarthealth Medical Clinic,5570 Budiriro 5Bcurrent Shopping Centre,Harare
Smart-Med Pharmacy,1480/1Nyazura Business Centre,Nyazura
Smartvale,8590 Kwalu,Beitbridge
Smartvale Medical Centre,5980 Kwalu,Beitbridge
S-Medical Diagnostic Imaging,Stand Number 16250 Zengeza 4 Shopping Complex,Chitungwiza
Smile By Design Surgery,1 Ainslie Housecnr 4Th Street &J. Tongogara Avenue,Harare
Smilecare Dental Clinic,1551 Dema Growth Pointmakumbe Buildingdema,Chitungwiza
Smiles Dental Surgery,1647 Mainway Meadows Waterfalls,Harare
Smiles Dental Surgery,Suite 78C.Old Zimpost Building7Th & 8Th Avenue Along J. Nkomo Street,Bulawayo
Snm Dental Surgery,42A Jmn Nkomo Street Between 2Nd And 3Rd Avenue,Bulawayo
Softex Tissue Products Clinic,No. 202Seke Roadgraniteside,Harare
Sonnex Medical Centre,6428 Makondo Extensiontshovani,Chiredzi
Sonocare Imaging Centre,524Th Streetparadise Park,Marondera
Sonocare Radiology,32049Unit Gseke,Chitungwiza
Sonocare Radiology,Number 16072Unit Gseke,Chitungwiza
Soothing Health Pvt Ltd T/A Soothe Pharmacy,1751Mutoko Road New Marlbough,Harare
South Medical - Laboratory,14656 Hadzinanhanga Zengeza 4,Chitungwiza
South Medical Chitungwiza Hospital,14656 Hadzinanhanga Rdzengeza 4,Chitungwiza
South Medical Chitungwiza Pharmacy,14656 Hadzinanhanga Zengeza 4,Chitungwiza
South Medical Chitungwiza T/A Citimed,Stand No 4001Barbara Tredgold Circlembare,Harare
South Medical Rehabilitation Unit,46516 Hadzinanhanga Roadzengeza 4,Chitungwiza
South Western 24Hr Nursing Surgery,Stand Number 5689Victoria Ranch,Masvingo
Southbank Pharmacy,629 Nyanhunga Business Centre,Kariba
Southcity Pharmacy,64 Pazarangu Avenue,Harare
Southcity Pharmacy-Waterfalls,423Amarlvern Shopsmazorodze Road,Harare
Southern 24 Medical Centre,62/64 Pazarungu Avenuembare,Harare
Southern 24 Medical Clinic,Stand 4041 Jabavu Drivehighfields,Harare
Southern 24 Medical Laboratory,62/64Pazarangu Avenuembare,Harare
Southern 24 Pharmacy,4041 Jabavu Drivehighfield,Harare
Southern 24 X-Ray And Scan,62/64 Pazarangu Avmbare,Harare
Southern Health And Vitality Physiotherapy,Suite 2David Mansions96 Robert Mugabe Way,Bulawayo
Southern Pharmaceutical Wholesalers,177Monaviale Complexmonaviale,Harare
Southern Pharmaceuticals,55 Princess Roadbelvedere,Harare
Southerton Pharmacy,"8823, St Jones Way Southerton",Harare
Southgate Pharmacy,Stand No.6481/6482Shop No.37/38Southlea Park,Harare
Southlea Hospital Medical Laboratory,Stand Number 123 Southlea Parksouthlea,Harare
Southlea Hospital Radiology,Stand 123Southlea Park,Harare
Southlea Medical Centre,6419 Candy Shopssouthlea Park,Harare
Southlea Pharmacy,123 Southlea Park,Harare
Southview Mufaro Clinic,2935 Southlea Park,Harare
Southview Park 24Hr Clinic,7778 Southview Parkphase 2,Harare
Southview Pharmacy,"5832 Southview Township, Fidelity Park",Harare
Southwood Pharmacy,79 & 80Golden Valley,Kadoma
Sparkhill Renal Care Unit,Number 4 7Th Street,Gweru
Specialist Clinic,"Suite 8, 7 Baines Avenue",Harare
Specialist Diabetes And Metabolism Clinic,18 Cleveland Avenuemilton Park,Harare
Specsavers Opticians,5204 Ruzawi Road,Marondera
Specsavers Opticians,"Shop 8, Stand Number 69Cnr R Mugabe/Kaguvi Street",Kadoma
Specsavers Opticians,Shop 8Kamfinsa Shopping Centregreendale,Harare
Specsavers Opticians,3 Dungarvan Road West,Harare
Specsavers Opticians,60 Selous Avenue,Harare
Specsavers Opticians - Borrowdale,3 Dungarvon Road Westborrowdale,Harare
Spectsworld Opticians - Bulawayo,"Suite 1, David Mansions 96A R. Mugabe Way",Bulawayo
Speke Avenues Doctors Rooms,"56 Speke Avenue, Gelfand House1St Floor",Harare
Spes Pathologika Clinical Laboratories,115 Fife Avenue Third Street Avenues,Harare
Spine And Stability Physiotherapy,136 Arcturus Roadhighlands,Harare
Springforth X-Ray Centre,9 Esihlengweni Medical Chambers Between 8Th And Josiah Tongogara,Bulawayo
Springs Health Care Surgery,1St Floor Mership Housecorner 9Th Avenue & Jmn Nkomo Street,Bulawayo
Springvale Medical Centre,9028Kuwadzana Phase 3,Harare
Square Medical Hub,Shop 6 Belvedere Squarebelvedere,Harare
Sr Dental Surgery,"Shop 206, 2Nd Floor Joina City",Harare
Ssee Clinic,182 Sam Nujoma Streetavondale,Harare
St Alberts Mission Hospital,St Alberts Mission Centenary,Centenary
St Andrew'S Mission Hospital,P.Bag 7035,Mutare
St Anne'S Mission Hospital-Byo,St Annes Mission Hospitalbrunapegp.Bag T5426,Bulawayo
St Annes Nephrocare Centre,St Annes Hospital155 King George Roadavondale,Harare
St Augustines Mission Clinic,P.O. Penhalonga,Mutare
St Barbara Clinic,Ndwizi Farm Ward 11Selous,Chegutu
St Chris Medical Centre,"Stand D Of Glen Tor, Glen Lorne",Harare
St Chris Pharmacy,Stand D Of Glen Torglen Lorne,Harare
St Clarita Medical Clinic,7542 Nketa 9 Commercial Nkulumane,Bulawayo
St Clements Chemotherapy Unit,57 Baines Avenue,Harare
St Dominics Chishawasha Clinic,Off Acturus Roadgreendale,Harare
St Gerads Catholic Church Clinic,Stonechat Lanegreystone Park,Harare
St Giles Medical Rehabilitation Centre,Clayton Road Milton Park,Harare
St James Clinic,Stand No. 28985 Zimbiru Shopping Centre,Domboshava
St Joseph Mission Hospital,3186 Paulington,Mutare
St Joseph Mission Hospital,St Joseph Mission Hospitalsakubva,Mutare
St Luke'S Mission Hospital,46Kenmaur Lupane,Lupane
St Margret Polyclinic,19335/17 Mbizo,Kwekwe
St Marques Medical Clinic,16786Hatcliffe Extension,Harare
St Mary'S Clinic,Stand Number 278St Mary'S,Chitungwiza
St Michael'S 24 Hour & Radiology Unit,19709 Unit Nseke,Chitungwiza
St Michaels Mission Hospital,St Michaels Mission Hospital,Beatrice
St Nectarios Clinic,Stand 2683/2684 Mainway Meadowsprospect,Harare
St Padre Pio Polyclinic,St 11228 Johannesburg Maridale,Norton
St Patricks Mission Clinic,St Patricks Mission Clinicp.Bag 9030,Gweru
St Patricks Mission Hospital - Hwange,705Chibondo,Hwange
St Paul'S Musami Mission Hospital,Murehwa District,Murewa
St Peter'S Mission Hospital,P.O Box 269Checheche,Chipinge
St Ruppert Mission Hospital,St Ruppert Mayer Mission Hospital,Chinhoyi
St Sava Dental Surgery & Laboratory,40A Jmn Nkomo Streetbetween 2Nd And 3Rd Avenue,Bulawayo
St Theresa Hospital,P.O. Box 8010,Rusape
St Theresa'S Mission Hospital,St Theresa'S Hospitalcharandura Business Centre,Chirumanzu
St Wilfred'S Medical Centre,Plot 2466 Jumbo Roadsection 6Kambuzuma,Harare
St Wilfred'S Pharmacy,2466 Jumbo Road,Harare
St. Joseph Clinic,P.O Box Ch 264 Chisipite,Harare
Sta Physiotherapy And Sports Injury Clinic,39/41Helllet Street,Masvingo
Stable Health - Borrowdale,35B Kingmead Road Borrowdale,Harare
Stalwart Clinic Laboratory-Zvishavane,1913Machipisa Shopping Centre,Zvishavane
Stalwart Medical Centre-Zvishavane,3297 Lot 2Makwasha,Zvishavane
Stankush Health Pharmacy,49 Afgate Hse Cnr 4Th Street And G. Silundika Ave,Harare
Stanley House Medical Centre,Stand 36 4Th Street,Kwekwe
Stanley House Medical Centre,"Stanley House, Stand 364Th Street",Kwekwe
Stapleford Private Clinic,Lot 3 Dovedale Roadstapleford,Harare
Star Pharmacy,Shop 7 Ok Complex Mbare Musika,Harare
Starlight Clinic - Juru,34/33 Juru Growth Point,Juru
Starlight Polyclinic - Budiriro,6945 Mbizi Closebudiriro 4,Harare
Station Polyclinic,43 Station St,Chegutu
Steelmakers Industrial Clinic,Old Steel Works Roadheavy Industrial Zone,Redcliff
Stengel Dental Surgery,125 Kwame Nkurumah Cnr 5Th Street,Harare
Stengel Dental Surgery,125 Kwame Nkurumah Corner 5Th Street,Harare
Stepping Stone Clinic,Box 10154,Harare
Stepping Stones Clinic- Milton Park,32 Josiah Tongogara Avenue,Harare
Stepping Stones Clinic- Milton Park,18 Cleveland Roadmilton Park,Harare
Sterling Pharmacy,Cnr Marlvern/Chatham Road,Mvurwi
Sterling Private Hospital,Corner Malvern / Chatham Road,Mvurwi
Stm Pharmaceuticals,137 Herbert Chitepo Street,Bulawayo
Stodart Pharmacy,20078 Pazarangu Avenue,Harare
Stomaltherapy Clinic,Albert Zinn Med Centre31 Rhodesville Avenuehighlands,Harare
Stoneridge Family Clinic,16478 Stoneridge Main Streetstoneridge Shops,Harare
Strathaven Dental Clinic - Avondale,Suite 9Strathaven Plazaavondale,Harare
Strathaven Medical Centre,9/972Strathaven Plazaavondale,Harare
Strathaven Pharmacy,Shop 4 Strathaven Shops,Harare
Strawdent Surgery,16 Josiah Tongogara Avenuemilton Park,Harare
Sturgeon Blue Pharmacy,106 Main Street,Mt Darwin
Sturgeon Blue Pharmacy,3020 Aerodrome,Bindura
Suburban Medical Centre Laboratory,Stand Number 3489 Warren Park 1 Shopping Centre,Harare
Suburban Pharmacy,3489 Warren Park 1 Shopping Centre,Harare
Suburbs Dental Centre,359Duncan Roadsuburbs,Bulawayo
Suburbs Healthcare Centre Medical And Physiotherapy,27 Ducan Roadsuburbs,Bulawayo
Summit Pharmacy,"Shop 1 Stand 381, Josiah Tongogara Avenue",Masvingo
Sunesis Pharmacy,180Centenary Roadgweshe Business Centre,Chiweshe
Sunningdale 2 Medical Centre,16075Sunningdale Two,Harare
Sunningdale 2 Medical Centre - Radiology,16250 32Nd Street,Harare
Sunningdale 2 Pharmacy,16075 Sunningdale 2,Harare
Sunningdale Medical Laboratory,216250 - 32Nd Street Sunningdale 2,Harare
Sunningdale Surgery,Sunningdale Complexmzari Road,Chinhoyi
Sunningdale Surgery,Sunningdale Complexumzare Road,Chinhoyi
Sunray Pharmacy,8554Chitubu Shopping Centre Glenorah A,Harare
Sunridge Pharmacy,572 Albury Streetmabelreign,Harare
Sunrise Dental Surgery,6Th Suite Ground Floor68 Ed Munangagwa Streetsunrise Mall,Masvingo
Sunrise Pharmacy,"Shop Number 1, 88 Rezende Street, Engineering House",Harare
Sunrise Pharmacy - Bulawayo,Stand 450 Bt95 George Silundika,Bulawayo
Sunshine Paediatric Clinic,4 Cuba Avenuemount Pleasant,Harare
Sunshine Physiotherapy Clinic,827 Aerodrome,Victoria Falls
Sunshine Physiotherapy Clinic,8903Mkhosana Township,Victoria Falls
Sunway Medical Clinic,1272 Ventersburgsunnyway City,Harare
Sunway Pharmacy,1272 Ventersburg Roadsunway City,Harare
Supermart Pharmacy,No. 90 J M Nkomo Street8Th & 9Th Avenue,Bulawayo
Supermed Pharmacy,Shop Number 2 Zonkizizwe Complex Bradfield,Bulawayo
Supermed Pharmacy,Shop 1 Baobab Mall104 Fife Street,Bulawayo
Surbaban Medical Centre,3489 Warren Park 1 Shopping Centre,Harare
Surburban Gp Rooms,52 Fourth Streetwinston Park,Marondera
Surburbs Healthcare Center,27Duncan Roadsurburbs,Bulawayo
Surgery 54,54 George Silundika Avenue,Harare
Surgical Gastroenterology Clinic,3 Borrowdale Lane,Harare
Suzzana Medical Centre,Stand 3854-174Th Streetwarren Park,Harare
Svoren Dr B Medical Doctor,60 Baines Ave60 Medical Chamber,Harare
Sylmat Pharmacy,Stand 516 Manresaacturus Road,Harare
Symmetry Dental Surgery,196 Longcheng Plaza,Harare
T&N Pharmacy,19Harris Street,Karoi
T.H.B Belvedere Dental Surgery,18158Muchibwa Housebelvedere Road,Harare
Tactyfin Pharmacy-Makoni,19667 Unit Gseke,Chitungwiza
Tafara 24 Hour Family Clinic,1418 Mupfure Crescent,Harare
Tafara Maternity Clinic,6177Muswewedapa Cresentnew Tafara,Harare
Tafara Surgery,Number 6 Mazvita Mall20 Ndongwe Street,Harare
Tait Ambulance Services,229 Tait Avenue,Rusape
Tait Medical Centre,229 Tait Avenue,Rusape
Takawira Surgery,6 Dawson Road,Mvurwi
Take Flight (Pvt)Ltd T/A Medicity Clinical Laboratory,Number 169King George Roadavondale,Harare
Takura Hozheri Sji Clinic,Hozheri Clinic,Mvuma
Talitah Cumi-Sca Clinic,18832Bishop Gaulbelvedere,Harare
Tangamira Tea - New Year'S Gift Clinic,Tingamira Estatechipinge Tea Company,Chipinge
Tanmed Pharmacy,9510Mufakose Shopping Centremufakose,Harare
Tapona Surgery,Stand Number 1375 Max Village Vengere,Rusape
Target Pharmacy,67 Afort Street,Bulawayo
Tariro Clinic,Stand 428Munyukiepworth,Harare
Tariro Medical Centre,45 Chingaira Street,Rusape
Tariro Pharmacy,17389Phase 4Damafalls,Ruwa
Tariro Surgery - Kadoma,Zimpost Complex,Kadoma
Tarshish Medical Xcentre,No.55Chipindura Park,Bindura
Taruku Health Centre,36Bfirst Street,Bindura
Tasca Pharmacy,9185 Chimbaira Complex,Chitungwiza
Tatpharm Unit L Pharmacy,19791,Chitungwiza
Tees Pharmacy - Bulawayo,110 Fife Street,Bulawayo
Tee'S Pharmacy Pvt Ltd - Zvishavane,"Acropol Building, R. Mugabe Way",Zvishavane
Telone Centre For Learning Clinic,Corner Hampden Street / Samora Machel Avenuebelvedere,Harare
Telone Clinic (Topyard Clinic)- Belmont Bulawayo,No. 10 Leamington Roadbelmont,Bulawayo
Terminus Pharmacy,Stand Number 3077A,Ngezi
Tesha Healthcare Centre,17798 Zengeza 3 Extension,Chitungwiza
Test 02,3 Flower Rd,Harare
Test 02,3Flower Roadmt Pleasant,Harare
Test Clinic,23835Phase 6Damofalls Prak,Harare
Test Demo,2Test Avenuemt Pleasant,Harare
Test Inst 898087,3 Test Avenuetest Apartments,Harare
Test Institution,Test Address 3334,Chitungwiza
Test Institution,Test Drive,Harare
Test Zambara,7 Ross Avenuebelgravia,Harare
Test123344,1 Testing Roadavondale,Harare
Test2507,1 Test Drive Testingtested,Harare
Test2507087,1 Block C,Bindura
Testing,Chimudzi Streetwarren Park,Harare
Testing,Address Line 1Address Line 2Address Line 3,Harare
Testing,Address Line 1Address Line 2Address Line 30,Harare
Testing,31 Clairwoodalexandra Park,Harare
Thb-Sante Dental Clinic-Milton Park,41 Vanpraagh Milton Park,Harare
The Place Ultrasound,Room 15Seafax Complex17 Nyabadza Avenue,Rusape
The Ambrose Place Medical Centre,3 Ambrose Place86 J.Chinamano Avenue,Harare
The Avenues Clinic,Corner Baines & Mazoe Street,Harare
The Avenues Pharmacy,Cnr Baines And Mazowe,Harare
The B . Braun Midlands Dialysis Unit,"Stand Number 8766, J. Tongogara Avenue, Gymkhana Grounds",Gweru
The Balm Of Gilead Pharmacy,Shop Number 1 Mapuranga Complex Jerera,Masvingo
The Balm Tree Pharmacy,Stand Number 1700 Nemamwa Growth Point,Masvingo
The Bio Room,"7 Patrick John Road, Colne Valley Chisipite",Harare
The Biotech Institute,217Herbert Chitepo Avenue,Harare
The Biotech Institute Pvt Ltd,217 Herbet Chitepo Avenue,Harare
"The Bone , Joint And Back Surgery","13 Baines Avenuewestend Clinic, Ground Floor",Harare
"The Bone , Joint And Back Surgery",60 Baines Medical Chambers,Harare
The Brooke Chemist,Shop 13Borrowdale Brooke Shopping Centreborrowdale,Harare
The Centurion Pharmacy,"Shop Number 3, Dathee Building, 7Th Street",Gweru
The Chase Dialysis Centre,103The Chasemt Pleasant,Harare
The Chemist,Shop 6 Stand 154 Industrial Banket,Banket
The City Clinic,Suite 19 Cecil Chambers 89,Mutare
The Concourse Dental Clinic,Cnr 2Nd Street/3Rd Avenue,Kwekwe
The Country Pharmacy-Ruzawi Road,45Ruzawi Road,Marondera
The Covenant Healthcare T/A Wound And Stoma Care Services,1 Ross Avenuebelgravia,Harare
The Dental Laboratory,54 George Silundika Ave,Harare
The Dental Lounge,78 Lomagundi Roademerald Hill,Harare
The Dental Lounge,3 Borewood House160,Harare
The Eye Attic,29A Arundel Village51 Quorn Avenuemt Pleasant,Harare
The Eye Institute,Number 21 Harvey Brown Avenue,Harare
The Eye World Centre,No.336Th Street,Gweru
The Eyepod Joina City,Shop 104Joina City Cnr J. Moyo Street / J. Nyerere Way,Harare
The Eyepod Mutare,Suite 9Medical Centre123 - 125 Herbert Chitepo,Mutare
The Eyeroom Optometrists,Shop 4Mirnval Complex64,Chiredzi
The Eyeroom Optometrists,Shop 8 Munosi Phillip Complexmakoni,Chitungwiza
The Eyeroom Optometrists Samora Machel,146 Samora Machel Avenue,Harare
"The Eyeroom Optometrists,Zb Center",Shop 4 Zb Centre59 Nkwame Nkrumah Avenue,Harare
The Eyeroom Optometrists-Kadoma,7 Milton Road,Kadoma
The Eyeroom Optometrists-Kwekwe,Gold City Mallshop 7Robert Mugabe Street,Kwekwe
The Eyeroom Otometrists Mutare,"47 Second Street, Mutarazi Building",Mutare
The Eyesight Place,Shop 3 Longcheng Plaza18014 Samora Machel And Mutley Bandbelvedere,Harare
The Eyesight Place,"Shop 19, Highglen Shops",Harare
The Family Clinic,147 Fife Avenue,Harare
The Family Clinic,"69 Josiah Chinamano Avenue, Corner Mazowe",Harare
The Family Medical Centre,92S.Parirenyatwa Street,Bulawayo
The Foot Care Centre,58 Ascot Road Avondale West,Harare
The Glen Southview Medical Centre,"5832 Southview Township, Fidelity Park",Harare
The Greeheart Pharmacy,"Stand Number 400, Ngundu Growthpoint",Masvingo
The Greenheart Medical Centre,Stand Number 393 Ngundu Business Centrengundu,Masvingo
The Health Bridge Hospital,95 West Drive,Victoria Falls
The Health Bridge Private Hospital,95 West Drive,Victoria Falls
The Kidney Centre,6Deary Avenue,Harare
The Ks Dental Surgery,77 Sam Nujoma Street,Harare
The Lookout Pharmacy,9638 Mufakose Magandanga Shopping Centre,Harare
The Mandizvidza Trust T/A Zimspine,5 Natal Roadbelgravia,Harare
The Medicine Chest Pharmacy,"4 St Andrew'S Arcade, Chisipite Shopping Centre",Harare
The Medicine Chest Pharmacy,5 Hurworth Road,Harare
The Medstore Pharmacy,30 Robson Manyika Avenue,Harare
The Michael Gelfand Clinic,53 Josiah Chinamano Avenue,Harare
The Midlands Private Hospital,"Stand 8766 Gymkhana Grounds, Josiah Tongogara Road",Gweru
The Miracle Surgery,183Chitungochineta Street,Mutare
The Msasa Clinic,7 Neil Avenuemsasa,Harare
The National St John Ambulance,102 Baines Avenue,Harare
The Neighbourhood Surgery,2944 Old Highfieldhighfield,Harare
The Nest Clinic,Marozva Village Ward 1Heather Chimoga Orphanage,Murewa
The Neurology Clinic,132 Nelson Mandela Avenue,Harare
The Neurology Practice,3Rd Floormedical Chambers60 Baines Avenue,Harare
The Neurosurgery Institute,19Baines Avenue Cnr Baines And Blackiston,Harare
The Optical Centre,Shop 37 Upper Level Bulawayo Centre,Bulawayo
The Ot Room,"7 Patrick John, Colne Valley",Harare
The Place Surgery,Shop 2 Sanhanga Buildingcnr R.Mugabe Way/4Th Street,Mutare
The Plastic Surgery Clinic,18 Lanark Road,Harare
The Practice,"377, 16 7Th Street",Gweru
The Practice,34 Downie Avenuebelgravia,Harare
The Radiology Clinic,329Sixth Street,Gweru
The Rehabcare Centre Borrowdale,3 Borrowdale Laneborrowdale,Harare
The Restoration Maternity Home,7199 Kwekwe Road,Gokwe
The Royal Southern Medical,29968Oliver Street,Masvingo
The Ruwa Radiology Suite,Shop No. 1 Stand 3788Old San Souci Road,Ruwa
The Salvation Army Tshelanyemba Mission Hospital,Tshelanyemba Hospital P.O Tshelanyemba Maphisa,Matobo
The Samaritan Healthcare,40 Josiah Tongogara(Off) Leopold Street,Harare
The Scan Centre,106 York Street,Bindura
The Specialist Physician Clinic,58 Ascot Roadavondale West,Harare
The Stones Pharmacy,Stand 2942 Mastonesold Highfield,Harare
The Urology Centre - K.T. Macheka,2 Natal Roadbelgravia,Harare
The Wellness Centre,115 Upper Third Road,Mutare
Thembani Polyclinic,1773 Cowdrhy Park Luveve,Bulawayo
Theophany Health Clinic,1224 St Mary'S,Chitungwiza
Therapoint Pharmacy,91 May Street,Shurugwi
Therapy House,9 Windsor Closemt Pleasant,Harare
Therapy Pro Pvt Ltd,24 Richmond Roadhighlands,Harare
Therapyworx,"7 Patrick John Road,Colne Valley",Harare
Thiago Pharmacy,"Shop 2 Smart Corner, Rg Mugabe",Gweru
Third Street Pharmacy,Stand 513Rd Street,Gweru
Thorngrove Isolation Hospital - Byo City,Off Station Roadthorngrove Surbub,Bulawayo
Thornhill Airbase Hospital,Thornhill Airbase,Gweru
Thoseck Pharmacy,94 Roseway,Karoi
Thosheck Pharmacy,367 Murambinda Growth Point,Murambinda
Thosheck Pharmacy,Shop Y13 Suwoguru,Mvurwi
Thosheck Pharmacy,Stand Number 18 Harris Street,Karoi
Three Zeds Optical Ent Pvt Ltd,21 Piemonte 141,Harare
Thrive Physiotherapy,166The Chasegroombridge,Harare
Thrive Physiotherapy Clinic,Stand No. 253168 The Chase Groombridge,Harare
Tichaz Pharmacy,9515 Tichagarika Shopping Centerglen View 3,Harare
Timeless Dental Laboratory,Mk 21 Westgate Shopping Mallwestgate,Harare
Tingamira Clinic,Tingamira Estatetanganda Tea Company,Chipinge
Tinovimba Clinic,Suite 4 12 Magamba Way Old Tm Building,Chinhoyi
Titshi Surgery,"Stand 329, Plumtree Cbd",Plumtree
Tiz Medical Rehabilitation Clinic,Huscho Holdings784 Macheke,Macheke
Tj'S Dental Surgery,2507 Egypt Highfield,Harare
Tj'S Medical Clinic,2507 121 Street Egypthighfield,Harare
Tk Pharmacy Makoni,16069Unit Gseke,Chitungwiza
Tk Pharmacy Zengeza,19331Zengeza 4,Chitungwiza
Tlc Pharmacy,5513/15Turf Business Centre,Mhondoro
Tobacco Processors Zimbabwe Clinic,Corner Auckland & Simon Mazorodze Road,Harare
Top Health Pharmacy,25352Upfront Roadmavambo Shops,Ruwa
Topcare Pharmacy,8131Kuwadzana 1,Harare
Topcare Pharmacy,2061 Gletwyn Roadgletwyn,Harare
Topcare Pharmacy-Eastgate,G28 Eastgate Market R.Mugabe/Wynne Street,Harare
Topline Polyclinic,639Turf Villagengezi,Kadoma
Topline Surgery,1St Floor Fbc Building179 Robertson Street,Masvingo
Topomasi Clinic,16 Park Streetnew Town,Kwekwe
Total Care Pharmacy,Stand No.282Mpandawana,Gutu
Total Care Pharmacy,Stand 4255 Mupandawana,Gutu
Total Health Pharmacy,"Stand 4137, Gokwe Centre",Gokwe
Total Med Pharmacy Robert Mugabe,"Shop Number 3, Venus House, Cnr Robert & Cameroon",Harare
Totalis Medical Clinic,1 Edmund Roadbelvedere,Harare
Totalis Pharmacy,1 Edmond Roadbelvedere,Harare
Totalmed Pharmacy,"100 Cameroon Street, Cnr Cameroon / Speke Avenue",Harare
Totalmed Pharmacy Chinhoyi Street,"120 Chinhoyi Street, Albion",Harare
Transmed Pharmacy-Mazowe Street,6Zandaam Court Avenueschunamano/Mazowe Street,Harare
Transpharm Phamaceuticals,1 Jason Moyokopje Plaza,Harare
Trasel Medical Centre,7222 Mabidi Suburb,Beitbridge
Trauma Centre Borrowdale,No. 1 Borrowdale Laneborrowdale,Harare
Trauma Centre Borrowdale,No.1-3Borrowale Laneborrowdale,Harare
Trauma Centre Borrowdale - Icu & Hdu,No 1- 3Borrowdale Laneborrowdale,Harare
Trauma Centre Borrowdale Ambulance (Ems),1Borrowdale Laneborrowdale,Harare
Trentmed Pharmacy,"5964 Gazaland Shops, Western Triangle",Harare
Triangle Sugar - Mpapa Clinic,Section 65Triangle Sugar Estates,Chiredzi
Triangle Sugar - Mutirikwi Clinic,Section 63Triangle Sugar Estates,Chiredzi
Triangle Sugar-Mill Clinic,Triangle Limited Sugar Milltriangle Sugar Estatestriangle,Chiredzi
Triashill Mission Hospital,Mutasa District,Rusape
Trinity Dental Clinic,"Stand 36, 4Th Street",Kwekwe
Trinity Family Clinic,Shangwito Invest Complex 13874/5 Chidodo Road,Chitungwiza
Trinity Pharmacy,Stand 245 Shop 5 Selous Building,Bulawayo
Trinity Pharmacy,"53 Samora Machel, Shop 2 Karigamombe Arcade",Harare
Trinity Pharmacy,Stand 23Corner Carrick Creagh & Gaydon Roadgreystone Park,Harare
Trinity Pharmacy,181 Jb Southgate Mallchiremba Road,Harare
Trinity Pharmacy,Shop 5 Jacobs Park46 Duikerborrowdale,Harare
Trinity Pharmacy,Stand A/19 67A Fortstreet 5Th/6Th Avenues,Bulawayo
